276 covert files
ok sub-41/nirs/sub-41_task-covert_run-01_nirs.json 388
ok sub-39/nirs/sub-39_task-covert_run-02_nirs.snirf 181114592
ok sub-39/nirs/sub-39_task-covert_run-01_nirs.snirf 179398192
ok sub-33/nirs/sub-33_task-covert_run-02_nirs.snirf 175607872
ok sub-34/nirs/sub-34_task-covert_run-02_nirs.snirf 175412032
ok sub-35/nirs/sub-35_task-covert_run-02_nirs.snirf 177940992
ok sub-34/nirs/sub-34_task-covert_run-01_nirs.snirf 174083632
ok sub-41/nirs/sub-41_task-covert_run-01_recording-eyetracking_physio.json 768
ok sub-41/nirs/sub-41_task-covert_run-02_events.tsv 990
ok sub-41/nirs/sub-41_task-covert_run-02_nirs.json 377
ok sub-41/nirs/sub-41_task-covert_run-02_recording-eyetracking_physio.json 766
ok sub-44/nirs/sub-44_task-covert_run-01_events.tsv 998
ok sub-44/nirs/sub-44_task-covert_run-01_nirs.json 377
ok sub-41/nirs/sub-41_task-covert_run-01_recording-eyetracking_physio.tsv 6548298
ok sub-44/nirs/sub-44_task-covert_run-01_recording-eyetracking_physio.json 766
ok sub-44/nirs/sub-44_task-covert_run-02_events.tsv 1012
ok sub-41/nirs/sub-41_task-covert_run-02_recording-eyetracking_physio.tsv 6349894
ok sub-44/nirs/sub-44_task-covert_run-02_nirs.json 380
ok sub-44/nirs/sub-44_task-covert_run-02_recording-eyetracking_physio.json 764
ok sub-44/nirs/sub-44_task-covert_run-01_recording-eyetracking_physio.tsv 5603973
ok sub-46/nirs/sub-46_task-covert_run-01_events.tsv 872
ok sub-46/nirs/sub-46_task-covert_run-01_nirs.json 388
ok sub-46/nirs/sub-46_task-covert_run-02_events.tsv 823
ok sub-44/nirs/sub-44_task-covert_run-02_recording-eyetracking_physio.tsv 5873999
ok sub-46/nirs/sub-46_task-covert_run-02_nirs.json 380
ok sub-47/nirs/sub-47_task-covert_run-01_events.tsv 1016
ok sub-47/nirs/sub-47_task-covert_run-01_nirs.json 380
ok sub-47/nirs/sub-47_task-covert_run-01_recording-eyetracking_physio.json 766
